"Label (Grouping)","Total:","Total:!!Not Hispanic or Latino:","Total:!!Not Hispanic or Latino:!!White alone","Total:!!Not Hispanic or Latino:!!Black or African American alone","Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Total:!!Not Hispanic or Latino:!!Asian alone","Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Total:!!Not Hispanic or Latino:!!Some other race alone","Total:!!Not Hispanic or Latino:!!Two or more races:","Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Total:!!Hispanic or Latino:","Total:!!Hispanic or Latino:!!White alone","Total:!!Hispanic or Latino:!!Black or African American alone","Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Total:!!Hispanic or Latino:!!Asian alone","Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Total:!!Hispanic or Latino:!!Some other race alone","Total:!!Hispanic or Latino:!!Two or more races:","Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"    Estimate","740,582","519,489","400,813","18,967","1,304","53,460","1,622","3,957","39,366","6,756","32,610","221,093","25,813","2,052","6,308","1,571","91","64,370","120,888","107,726","13,162"
"Congressional District 50 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","748,539","495,603","381,205","19,125","2,736","47,016","1,193","7,249","37,079","6,051","31,028","252,936","41,785","1,422","10,189","1,229","233","77,936","120,142","109,436","10,706"
"Congressional District 51 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","707,085","220,161","91,167","44,433","2,409","61,496","3,161","3,255","14,240","2,343","11,897","486,924","61,509","4,485","9,796","1,609","51","210,629","198,845","186,559","12,286"
"Congressional District 52 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","778,194","651,799","422,243","18,422","1,747","153,029","1,712","7,022","47,624","9,668","37,956","126,395","25,755","355","3,119","1,655","121","30,590","64,800","56,783","8,017"
"Congressional District 53 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","761,110","482,704","280,723","54,676","402","96,595","4,756","4,858","40,694","3,640","37,054","278,406","40,962","1,800","6,358","2,593","363","96,986","129,344","111,373","17,971"
"Congressional District 1 (116th Congress), Colorado","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","838,929","614,156","478,151","63,334","2,235","25,255","610","5,655","38,916","9,759","29,157","224,773","44,498","2,855","5,280","699","155","72,197","99,089","84,976","14,113"
"Congressional District 2 (116th Congress), Colorado","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","820,942","725,097","646,729","6,036","2,128","26,599","1,305","5,446","36,854","14,037","22,817","95,845","18,465","959","2,427","405","0","16,626","56,963","48,556","8,407"
"Congressional District 3 (116th Congress), Colorado","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","769,771","576,171","519,741","5,799","6,751","5,959","841","4,649","32,431","13,371","19,060","193,600","64,237","440","6,371","157","116","33,069","89,210","77,410","11,800"
"Congressional District 4 (116th Congress), Colorado","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","908,778","703,673","624,321","12,461","2,189","21,087","601","5,828","37,186","13,405","23,781","205,105","53,665","2,332","7,702","952","206","48,498","91,750","81,589","10,161"
"Congressional District 5 (116th Congress), Colorado","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","840,942","693,673","570,133","41,360","2,037","19,461","2,272","6,036","52,374","10,262","42,112","147,269","44,882","1,873","5,352","650","0","27,569","66,943","54,466","12,477"
"Congressional District 6 (116th Congress), Colorado","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","833,948","649,839","470,901","74,436","1,610","55,199","1,825","4,538","41,330","8,622","32,708","184,109","30,564","2,261","4,778","506","48","63,985","81,967","71,429","10,538"
"Congressional District 7 (116th Congress), Colorado","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","798,759","556,246","478,290","13,990","2,141","27,430","651","3,761","29,983","8,952","21,031","242,513","56,806","1,231","9,376","734","38","63,994","110,334","94,559","15,775"
"Congressional District 1 (116th Congress), Connecticut","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","716,422","583,871","407,963","103,533","484","38,236","0","3,716","29,939","11,501","18,438","132,551","25,997","4,438","885","415","101","48,647","52,068","32,758","19,310"
"Congressional District 2 (116th Congress), Connecticut","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","706,620","637,074","547,186","22,965","1,991","24,693","62","4,272","35,905","12,005","23,900","69,546","11,158","2,451","489","164","0","20,315","34,969","29,138","5,831"
"Congressional District 3 (116th Congress), Connecticut","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","711,522","580,434","417,828","99,614","311","30,130","390","4,871","27,290","7,910","19,380","131,088","19,350","6,202","2,138","1,320","365","56,350","45,363","40,195","5,168"
"Congressional District 4 (116th Congress), Connecticut","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","745,760","584,467","422,504","85,178","401","42,956","0","6,408","27,020","10,108","16,912","161,293","14,754","5,837","3,565","734","0","65,288","71,115","61,668","9,447"
"Congressional District 5 (116th Congress), Connecticut","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","725,273","582,638","466,899","43,963","434","33,996","251","8,804","28,291","12,155","16,136","142,635","20,941","6,665","1,540","234","309","46,224","66,722","61,335","5,387"
