MedianEarnings,year,state_po,district,CollegeGrad,NonCollegeGrad,MedianAge,Hispanic,White,Black,NativeAmerican,Asian,republican_victory,republican_president,midterm,pvi
42683.52,2012,MO,4,24.1,75.9,36.5,3.3,87.7,3.7,0.6,1.4,True,False,False,10.91
44475.63,2012,MO,5,25.0,74.9,36.8,8.4,65.3,21.9,0.5,1.4,False,False,False,-9.44
47146.17,2012,MO,6,25.9,74.1,38.4,3.7,88.3,4.0,0.4,1.3,True,False,False,9.39
38834.22,2012,MO,7,22.4,77.49999999999999,37.5,4.6,89.2,1.7,1.0,1.1,True,False,False,17.41
37608.93,2012,MO,8,14.6,85.4,40.6,1.6,91.4,4.7,0.4,0.5,True,False,False,13.72
42151.95,2012,MT,0,29.4,70.60000000000001,40.2,3.1,87.2,0.3,6.2,0.6,True,False,False,5.96
49383.84,2012,NE,1,29.0,71.0,35.2,8.0,84.3,2.3,1.2,2.2,True,False,False,9.79
51976.83,2012,NE,2,37.8,62.1,33.8,10.7,73.8,10.1,0.4,2.8,True,False,False,4.91
42876.69,2012,NE,3,20.2,79.7,40.9,10.2,86.1,0.9,0.6,0.9,True,False,False,22.27
37469.34,2012,NV,1,14.0,86.10000000000001,36.3,44.5,35.2,9.3,0.4,7.4,False,False,False,-11.87
45380.85,2012,NV,2,24.0,76.0,38.7,21.4,68.1,1.6,2.0,4.0,True,False,False,3.97
