MedianEarnings,year,state_po,district,CollegeGrad,NonCollegeGrad
44090.7,2012,OH,7,18.0,82.0
46466.549999999996,2012,OH,8,22.3,77.8
43136.13,2012,OH,9,20.9,79.1
46035.09,2012,OH,10,26.9,73.1
43457.61,2012,OH,11,25.8,74.2
58458.6,2012,OH,12,38.1,61.9
42921.81,2012,OH,13,19.6,80.4
55125.35999999999,2012,OH,14,32.0,68.0
51199.92,2012,OH,15,28.5,71.6
53739.329999999994,2012,OH,16,31.2,68.8
46248.0,2012,OK,1,28.6,71.4
40447.259999999995,2012,OK,2,16.8,83.2
44591.25,2012,OK,3,21.0,79.0
45706.56,2012,OK,4,23.200000000000003,76.8
43585.92,2012,OK,5,29.1,70.89999999999999
52566.21,2012,OR,1,37.5,62.6
38225.1,2012,OR,2,22.6,77.3
48385.56,2012,OR,3,36.6,63.39999999999999
39154.29,2012,OR,4,24.4,75.6
46431.299999999996,2012,OR,5,28.200000000000003,71.8
45259.59,2012,PA,1,23.7,76.3
50270.729999999996,2012,PA,2,33.099999999999994,66.8
44956.439999999995,2012,PA,3,22.9,77.10000000000001
51377.579999999994,2012,PA,4,24.4,75.60000000000001
43385.7,2012,PA,5,22.200000000000003,77.8
63799.67999999999,2012,PA,6,40.9,59.2
65079.96,2012,PA,7,40.900000000000006,59.1
63407.7,2012,PA,8,36.3,63.800000000000004
44254.259999999995,2012,PA,9,17.0,83.0
44719.56,2012,PA,10,19.7,80.19999999999999
47749.649999999994,2012,PA,11,22.299999999999997,77.6
53227.5,2012,PA,12,30.0,69.9
53386.829999999994,2012,PA,13,31.9,68.2
45686.82,2012,PA,14,30.299999999999997,69.69999999999999
50387.759999999995,2012,PA,15,27.099999999999998,72.89999999999999
46723.17,2012,PA,16,24.200000000000003,75.80000000000001
45086.159999999996,2012,PA,17,19.4,80.5
54252.57,2012,PA,18,33.4,66.60000000000001
50879.85,2012,RI,1,31.2,68.69999999999999
56746.85999999999,2012,RI,2,31.6,68.6
49165.28999999999,2012,SC,1,36.099999999999994,63.9
51036.36,2012,SC,2,32.2,67.80000000000001
42415.619999999995,2012,SC,3,19.4,80.6
45521.85,2012,SC,4,28.7,71.2
44842.229999999996,2012,SC,5,19.9,80.1
37267.71,2012,SC,6,19.4,80.60000000000001
37889.52,2012,SC,7,19.1,80.89999999999999
44451.659999999996,2012,SD,0,26.200000000000003,73.80000000000001
38825.759999999995,2012,TN,1,17.9,82.2
45361.11,2012,TN,2,28.400000000000002,71.5
43258.799999999996,2012,TN,3,21.0,78.89999999999999
43869.329999999994,2012,TN,4,20.1,79.8
44706.869999999995,2012,TN,5,34.5,65.5
44082.24,2012,TN,6,20.200000000000003,79.89999999999999
46920.57,2012,TN,7,26.3,73.69999999999999
49451.52,2012,TN,8,27.7,72.4
40897.049999999996,2012,TN,9,22.4,77.60000000000001
42827.34,2012,TX,1,18.5,81.49999999999999
59761.439999999995,2012,TX,2,38.5,61.4
70815.84,2012,TX,3,50.900000000000006,49.2
44767.5,2012,TX,4,19.4,80.6
43718.46,2012,TX,5,17.4,82.6
53595.509999999995,2012,TX,6,29.7,70.30000000000001
62293.799999999996,2012,TX,7,47.1,52.9
57047.189999999995,2012,TX,8,27.7,72.2
38449.29,2012,TX,9,23.8,76.3
55573.74,2012,TX,10,35.4,64.5
45255.36,2012,TX,11,18.700000000000003,81.2
55762.68,2012,TX,12,27.9,72.10000000000001
44766.09,2012,TX,13,18.9,81.0
50752.95,2012,TX,14,22.5,77.4
36757.29,2012,TX,15,18.3,81.7
38075.64,2012,TX,16,22.6,77.3
45307.53,2012,TX,17,29.8,70.2
38617.079999999994,2012,TX,18,18.9,81.2
42982.439999999995,2012,TX,19,21.1,78.9
42859.77,2012,TX,20,21.7,78.3
56738.399999999994,2012,TX,21,44.599999999999994,55.300000000000004
68496.39,2012,TX,22,41.099999999999994,58.699999999999996
42964.11,2012,TX,23,21.5,78.5
58819.56,2012,TX,24,42.3,57.7
52452.0,2012,TX,25,33.1,67.0
64652.729999999996,2012,TX,26,38.9,61.199999999999996
43865.1,2012,TX,27,17.3,82.8
37446.78,2012,TX,28,17.7,82.30000000000001
34660.619999999995,2012,TX,29,8.7,91.3
43014.869999999995,2012,TX,30,19.0,81.1
54588.149999999994,2012,TX,31,32.0,67.9
55690.77,2012,TX,32,41.8,58.20000000000001
31369.679999999997,2012,TX,33,9.3,90.6
32609.07,2012,TX,34,14.5,85.5
36365.31,2012,TX,35,18.3,81.7
51899.28,2012,TX,36,18.2,81.8
49316.159999999996,2012,UT,1,27.8,72.1
44320.53,2012,UT,2,30.6,69.5
49558.68,2012,UT,3,37.5,62.400000000000006
49562.909999999996,2012,UT,4,27.5,72.6
48327.75,2012,VT,0,35.8,64.19999999999999
59451.24,2012,VA,1,34.9,65.1
52009.259999999995,2012,VA,2,30.1,70.0
43543.619999999995,2012,VA,3,22.5,77.39999999999999
54153.869999999995,2012,VA,4,24.6,75.5
44138.64,2012,VA,5,24.6,75.5
44427.689999999995,2012,VA,6,26.5,73.6
59269.35,2012,VA,7,39.5,60.599999999999994
78298.70999999999,2012,VA,8,60.0,40.0
42064.53,2012,VA,9,17.5,82.5
79375.95,2012,VA,10,53.2,46.900000000000006
73759.92,2012,VA,11,52.400000000000006,47.6
65820.20999999999,2012,WA,1,38.4,61.5
52330.74,2012,WA,2,29.1,70.9
48618.21,2012,WA,3,23.2,76.70000000000002
42037.74,2012,WA,4,18.7,81.2
45485.189999999995,2012,WA,5,27.1,73.0
49870.28999999999,2012,WA,6,26.8,73.2
63155.31,2012,WA,7,55.4,44.599999999999994
62186.64,2012,WA,8,31.0,68.89999999999999
56614.32,2012,WA,9,37.9,62.0
52459.049999999996,2012,WA,10,24.700000000000003,75.30000000000001
40963.32,2012,WV,1,19.7,80.2
47414.07,2012,WV,2,20.9,79.2
42346.53,2012,WV,3,15.2,84.89999999999999
52817.189999999995,2012,WI,1,26.1,74.0
51756.869999999995,2012,WI,2,37.7,62.3
44155.56,2012,WI,3,23.1,76.80000000000001
44489.729999999996,2012,WI,4,25.9,74.10000000000001
57415.2,2012,WI,5,34.6,65.2
50062.049999999996,2012,WI,6,25.3,74.89999999999999
43992.0,2012,WI,7,20.7,79.2
48412.35,2012,WI,8,23.5,76.5
50391.99,2012,WY,0,24.7,75.30000000000001
41749.14,2014,AL,1,22.9,77.2
42156.24,2014,AL,2,20.4,79.5
43374.78,2014,AL,3,21.1,79.1
40675.5,2014,AL,4,15.9,84.0
47260.85999999999,2014,AL,5,29.6,70.5
56179.799999999996,2014,AL,6,34.7,65.2
37283.46,2014,AL,7,19.0,81.1
58030.38,2014,AK,0,28.0,72.1
44050.979999999996,2014,AZ,1,22.8,77.1
43463.1,2014,AZ,2,32.6,67.3
38758.68,2014,AZ,3,15.200000000000001,84.80000000000001
39866.82,2014,AZ,4,17.3,82.7
57755.759999999995,2014,AZ,5,35.099999999999994,64.8
57188.579999999994,2014,AZ,6,41.6,58.3
34759.439999999995,2014,AZ,7,13.2,86.8
53757.899999999994,2014,AZ,8,28.4,71.6
49551.659999999996,2014,AZ,9,36.0,64.0
37835.46,2014,AR,1,15.1,84.8
45461.34,2014,AR,2,27.0,73.0
42611.64,2014,AR,3,25.1,74.8
38949.119999999995,2014,AR,4,15.100000000000001,84.9
43078.079999999994,2014,CA,1,22.6,77.5
53360.46,2014,CA,2,38.7,61.3
45204.659999999996,2014,CA,3,23.8,76.1
56544.119999999995,2014,CA,4,31.799999999999997,68.2
52696.67999999999,2014,CA,5,29.5,70.6
44754.78,2014,CA,6,25.400000000000002,74.6
55680.24,2014,CA,7,31.6,68.4
44814.119999999995,2014,CA,8,14.399999999999999,85.6
44295.24,2014,CA,9,19.0,81.10000000000001
46550.159999999996,2014,CA,10,16.5,83.5
62596.799999999996,2014,CA,11,41.099999999999994,58.9
71674.43999999999,2014,CA,12,54.099999999999994,46.0
55419.42,2014,CA,13,44.7,55.3
63482.759999999995,2014,CA,14,43.7,56.1
67726.26,2014,CA,15,40.4,59.60000000000001
33546.42,2014,CA,16,12.399999999999999,87.7
84929.34,2014,CA,17,54.2,45.7
90768.12,2014,CA,18,60.0,40.0
56413.02,2014,CA,19,31.0,69.0
43069.799999999996,2014,CA,20,25.9,74.1
30547.679999999997,2014,CA,21,8.3,91.6
44164.14,2014,CA,22,23.5,76.4
49388.82,2014,CA,23,18.2,81.8
48878.219999999994,2014,CA,24,32.0,68.0
57946.2,2014,CA,25,27.2,72.8
52249.56,2014,CA,26,31.6,68.39999999999999
55786.49999999999,2014,CA,27,41.5,58.5
50385.17999999999,2014,CA,28,44.6,55.4
35174.82,2014,CA,29,18.200000000000003,81.6
56658.659999999996,2014,CA,30,39.900000000000006,60.0
45749.759999999995,2014,CA,31,24.0,76.0
41987.88,2014,CA,32,19.8,80.1
83542.43999999999,2014,CA,33,61.6,38.4
30012.239999999998,2014,CA,34,22.4,77.60000000000001
40300.14,2014,CA,35,14.9,85.10000000000001
37415.939999999995,2014,CA,36,20.5,79.4
44395.979999999996,2014,CA,37,36.900000000000006,63.099999999999994
45613.14,2014,CA,38,21.6,78.5
56647.619999999995,2014,CA,39,39.2,60.9
30387.6,2014,CA,40,8.399999999999999,91.5
42131.399999999994,2014,CA,41,17.0,83.0
56527.56,2014,CA,42,24.3,75.6
41427.6,2014,CA,43,23.9,76.1
35021.64,2014,CA,44,11.9,88.1
72404.45999999999,2014,CA,45,50.9,49.2
36564.479999999996,2014,CA,46,16.7,83.39999999999999
50272.02,2014,CA,47,28.7,71.3
66673.31999999999,2014,CA,48,43.7,56.199999999999996
58567.2,2014,CA,49,40.4,59.7
48482.159999999996,2014,CA,50,24.299999999999997,75.60000000000001
36234.659999999996,2014,CA,51,13.4,86.5
70923.72,2014,CA,52,55.1,44.900000000000006
52486.92,2014,CA,53,34.6,65.5
52816.74,2014,CO,1,43.9,56.00000000000001
56875.31999999999,2014,CO,2,51.400000000000006,48.5
43530.719999999994,2014,CO,3,29.8,70.3
52353.06,2014,CO,4,33.2,66.7
48584.28,2014,CO,5,33.8,66.1
55242.78,2014,CO,6,40.2,59.8
52974.06,2014,CO,7,31.4,68.6
60800.03999999999,2014,CT,1,35.8,64.1
58041.42,2014,CT,2,33.0,67.10000000000001
57993.119999999995,2014,CT,3,35.0,65.1
67535.81999999999,2014,CT,4,48.2,51.7
57581.88,2014,CT,5,34.1,65.89999999999999
51485.03999999999,2014,DE,0,29.799999999999997,70.2
42814.5,2014,FL,1,25.3,74.7
43323.719999999994,2014,FL,2,26.200000000000003,73.8
42912.479999999996,2014,FL,3,23.7,76.2
50120.219999999994,2014,FL,4,30.5,69.6
34642.14,2014,FL,5,16.9,83.1
42964.92,2014,FL,6,27.1,73.0
46682.64,2014,FL,7,35.0,65.0
42014.1,2014,FL,8,26.400000000000002,73.6
38599.979999999996,2014,FL,9,23.7,76.2
43697.7,2014,FL,10,30.3,69.7
36717.659999999996,2014,FL,11,19.9,80.2
48854.759999999995,2014,FL,12,28.400000000000002,71.6
44506.38,2014,FL,13,27.8,72.1
42875.219999999994,2014,FL,14,27.6,72.3
44455.32,2014,FL,15,27.0,73.0
41579.399999999994,2014,FL,16,30.8,69.2
38543.399999999994,2014,FL,17,18.2,81.8
44364.24,2014,FL,18,29.0,71.0
39592.2,2014,FL,19,30.700000000000003,69.2
34851.899999999994,2014,FL,20,18.7,81.3
49477.14,2014,FL,21,33.4,66.5
47329.85999999999,2014,FL,22,35.7,64.2
49535.1,2014,FL,23,37.5,62.400000000000006
35908.979999999996,2014,FL,24,21.1,78.8
37668.479999999996,2014,FL,25,23.700000000000003,76.4
42763.439999999995,2014,FL,26,28.0,72.0
38504.759999999995,2014,FL,27,29.1,70.9
42488.82,2014,GA,1,25.3,74.6
35078.219999999994,2014,GA,2,16.7,83.29999999999998
48809.219999999994,2014,GA,3,24.4,75.7
43937.82,2014,GA,4,29.299999999999997,70.8
49053.479999999996,2014,GA,5,40.9,59.0
64290.06,2014,GA,6,57.0,43.00000000000001
50767.439999999995,2014,GA,7,37.1,62.89999999999999
42034.799999999996,2014,GA,8,18.1,81.9
41170.92,2014,GA,9,20.4,79.7
43773.6,2014,GA,10,23.2,76.8
53157.6,2014,GA,11,37.4,62.5
42047.219999999994,2014,GA,12,20.8,79.2
44492.579999999994,2014,GA,13,25.3,74.6
42506.759999999995,2014,GA,14,16.700000000000003,83.3
56541.35999999999,2014,HI,1,34.8,65.2
46833.06,2014,HI,2,27.3,72.7
42734.46,2014,ID,1,24.7,75.30000000000001
41193.0,2014,ID,2,27.9,72.1
50059.49999999999,2014,IL,1,25.8,74.19999999999999
44520.17999999999,2014,IL,2,21.799999999999997,78.2
50020.85999999999,2014,IL,3,25.3,74.7
37640.88,2014,IL,4,19.8,80.3
65493.42,2014,IL,5,50.8,49.199999999999996
70513.86,2014,IL,6,50.2,49.900000000000006
57483.899999999994,2014,IL,7,38.8,61.099999999999994
51610.619999999995,2014,IL,8,32.3,67.69999999999999
57932.399999999994,2014,IL,9,52.0,48.0
